,ip.ttl,tcp.window_size,ip.flags.df,probability
0,55,5840,1,0.4
1,55,5840,,0.3
2,56,5840,1,0.4
3,56,5840,,0.3
4,57,5840,1,0.4
5,57,5840,,0.3
6,58,5840,1,0.4
7,58,5840,,0.3
8,59,5840,1,0.4
9,59,5840,,0.3
10,60,5840,1,0.4
11,60,5840,,0.3
12,61,5840,1,0.4
13,61,5840,,0.3
14,62,5840,1,0.4
15,62,5840,,0.3
16,63,5840,1,0.4
17,63,5840,,0.3
18,64,5840,1,0.4
19,64,5840,,0.3
20,55,,1,0.1
21,55,,,0.1
22,56,,1,0.1
23,56,,,0.1
24,57,,1,0.1
25,57,,,0.1
26,58,,1,0.1
27,58,,,0.1
28,59,,1,0.1
29,59,,,0.1
30,60,,1,0.1
31,60,,,0.1
32,61,,1,0.1
33,61,,,0.1
34,62,,1,0.1
35,62,,,0.1
36,63,,1,0.1
37,63,,,0.1
38,64,,1,0.1
39,64,,,0.1
40,,5840,1,0.1
41,,5840,,0.1
42,,,1,0.03
43,,,,0.02
